Date,Fajr,Sunrise,Zuhr,Asr,Maghrib,Isha
1-Jan,6:07 AM,7:18 AM,12:26 PM,3:15 PM,5:34 PM,6:44 PM
2-Jan,6:08 AM,7:18 AM,12:26 PM,3:15 PM,5:35 PM,6:45 PM
3-Jan,6:08 AM,7:18 AM,12:27 PM,3:16 PM,5:36 PM,6:45 PM
4-Jan,6:08 AM,7:19 AM,12:27 PM,3:17 PM,5:37 PM,6:46 PM
5-Jan,6:08 AM,7:19 AM,12:27 PM,3:17 PM,5:37 PM,6:47 PM
6-Jan,6:08 AM,7:19 AM,12:28 PM,3:18 PM,5:38 PM,6:48 PM
7-Jan,6:09 AM,7:19 AM,12:28 PM,3:19 PM,5:39 PM,6:48 PM
8-Jan,6:09 AM,7:19 AM,12:29 PM,3:20 PM,5:40 PM,6:49 PM
9-Jan,6:09 AM,7:19 AM,12:29 PM,3:20 PM,5:41 PM,6:50 PM
10-Jan,6:09 AM,7:19 AM,12:30 PM,3:21 PM,5:41 PM,6:50 PM
11-Jan,6:09 AM,7:19 AM,12:30 PM,3:22 PM,5:42 PM,6:51 PM
12-Jan,6:09 AM,7:19 AM,12:30 PM,3:23 PM,5:43 PM,6:52 PM
13-Jan,6:09 AM,7:19 AM,12:31 PM,3:23 PM,5:44 PM,6:53 PM
14-Jan,6:09 AM,7:19 AM,12:31 PM,3:24 PM,5:45 PM,6:53 PM
15-Jan,6:09 AM,7:19 AM,12:31 PM,3:25 PM,5:46 PM,6:54 PM
16-Jan,6:09 AM,7:18 AM,12:32 PM,3:26 PM,5:46 PM,6:55 PM
17-Jan,6:09 AM,7:18 AM,12:32 PM,3:26 PM,5:47 PM,6:56 PM
18-Jan,6:09 AM,7:18 AM,12:32 PM,3:27 PM,5:48 PM,6:56 PM
19-Jan,6:09 AM,7:18 AM,12:33 PM,3:28 PM,5:49 PM,6:57 PM
20-Jan,6:08 AM,7:18 AM,12:33 PM,3:29 PM,5:50 PM,6:58 PM
21-Jan,6:08 AM,7:17 AM,12:33 PM,3:29 PM,5:51 PM,6:59 PM
22-Jan,6:08 AM,7:17 AM,12:34 PM,3:30 PM,5:52 PM,7:00 PM
23-Jan,6:08 AM,7:17 AM,12:34 PM,3:31 PM,5:52 PM,7:00 PM
24-Jan,6:07 AM,7:16 AM,12:34 PM,3:32 PM,5:53 PM,7:01 PM
25-Jan,6:07 AM,7:16 AM,12:34 PM,3:32 PM,5:54 PM,7:02 PM
26-Jan,6:07 AM,7:15 AM,12:35 PM,3:33 PM,5:55 PM,7:03 PM
27-Jan,6:06 AM,7:15 AM,12:35 PM,3:34 PM,5:56 PM,7:03 PM
28-Jan,6:06 AM,7:14 AM,12:35 PM,3:35 PM,5:57 PM,7:04 PM
29-Jan,6:06 AM,7:14 AM,12:35 PM,3:35 PM,5:58 PM,7:05 PM
30-Jan,6:05 AM,7:13 AM,12:35 PM,3:36 PM,5:59 PM,7:06 PM
31-Jan,6:05 AM,7:13 AM,12:35 PM,3:37 PM,5:59 PM,7:06 PM
1-Feb,6:04 AM,7:12 AM,12:36 PM,3:38 PM,6:00 PM,7:07 PM
2-Feb,6:04 AM,7:12 AM,12:36 PM,3:38 PM,6:01 PM,7:08 PM
3-Feb,6:03 AM,7:11 AM,12:36 PM,3:39 PM,6:02 PM,7:09 PM
4-Feb,6:03 AM,7:10 AM,12:36 PM,3:40 PM,6:03 PM,7:09 PM
5-Feb,6:02 AM,7:10 AM,12:36 PM,3:40 PM,6:04 PM,7:10 PM
6-Feb,6:02 AM,7:09 AM,12:36 PM,3:41 PM,6:04 PM,7:11 PM
7-Feb,6:01 AM,7:08 AM,12:36 PM,3:42 PM,6:05 PM,7:12 PM
8-Feb,6:00 AM,7:07 AM,12:36 PM,3:42 PM,6:06 PM,7:12 PM
9-Feb,6:00 AM,7:07 AM,12:36 PM,3:43 PM,6:07 PM,7:13 PM
10-Feb,5:59 AM,7:06 AM,12:36 PM,3:43 PM,6:08 PM,7:14 PM
11-Feb,5:58 AM,7:05 AM,12:36 PM,3:44 PM,6:09 PM,7:14 PM
12-Feb,5:58 AM,7:04 AM,12:36 PM,3:45 PM,6:09 PM,7:15 PM
13-Feb,5:57 AM,7:03 AM,12:36 PM,3:45 PM,6:10 PM,7:16 PM
14-Feb,5:56 AM,7:03 AM,12:36 PM,3:46 PM,6:11 PM,7:17 PM
15-Feb,5:55 AM,7:02 AM,12:36 PM,3:46 PM,6:12 PM,7:17 PM
16-Feb,5:54 AM,7:01 AM,12:36 PM,3:47 PM,6:13 PM,7:18 PM
17-Feb,5:54 AM,7:00 AM,12:36 PM,3:47 PM,6:13 PM,7:19 PM
18-Feb,5:53 AM,6:59 AM,12:36 PM,3:48 PM,6:14 PM,7:19 PM
19-Feb,5:52 AM,6:58 AM,12:36 PM,3:48 PM,6:15 PM,7:20 PM
20-Feb,5:51 AM,6:57 AM,12:36 PM,3:49 PM,6:16 PM,7:21 PM
